"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"100087","Armor of Caine's Fury","","Combat","","Valeren/Presence","","1","","","[pre] Prevent 1 damage.
[val] Only usable before range is determined. This vampire may prevent 1 damage from the opposing minion's strikes each round. Frenzy cards cannot be played on this vampire; cancel the effects of any Frenzy cards that have already been played on this vampire this combat.
[VAL] As [val] above, but this vampire may prevent 2 damage from the opposing minion's strikes each round.","","LoB:C","","","David Day","",""
"100088","Armor of Terra","","Action","","Visceratika/Thaumaturgy","","1","","","+1 stealth action.
[tha] Put this card on a slave Gargoyle you control. The Gargoyle with this card treats aggravated damage as normal damage. Burn this card if this Gargoyle goes to torpor. A Gargoyle can have only one Armor of Terra.
[vis] As [tha] above, but put this card on this acting Gargoyle.
[VIS] As [vis] above, and the Gargoyle with this card may prevent 1 damage each combat.","","BL:R1, LoB:R","","","Leif Jones","",""
"100089","Armor of Vitality","","Combat","","Fortitude","","1","","","[for] Prevent 3 damage.
[FOR] As above, and if any of the damage was from the opposing minion's melee weapon, that weapon is destroyed.","","LotN:C/PR2, KoT:C/PV4","","","Eric Lofgren","",""
"100090","Arms Dealer","","Ally","Brujah","","","","","","Mortal with 1 life. 1 strength, 0 bleed.
Arms Dealer may take a +1 stealth action to allow you to search your library for a weapon and move it to your hand. Shuffle and discard afterward.","","Jyhad:U, VTES:U, CE:U, KoT:U","","","Kieran Yanner; William O'Connor","",""
"100091","Arms of the Abyss","","Combat","","Obtenebration","","","","","[obt] Strike: dodge.
[OBT] As above, with 1 additional strike (limited).","And when you gaze long into an abyss, the abyss will also gaze into you.
Friedrich Nietzsche, ""Beyond Good and Evil""","Sabbat:C, SW:C/PL3, POD:DTC","","","Michael Astrachan","",""
"100092","Army of Apparitions","","Reaction","","Chimerstry","","","","","Usable by a locked vampire.
[chi] Only usable during a referendum. Gain 3 votes.
[CHI] Only usable when an ally or younger vampire is taking a (D) action directed at a minion you control. This vampire burns 2 blood to cause the action to end (unsuccessfully).","","LotN:C/PR","","","Alexander Dunnigan","",""
"100093","Army of Rats","","Action","","Animalism","","","","","+1 stealth action.
[ani] Put this card in play. During your unlock phase, your prey burns 1 pool. You can burn only 1 pool each turn with Army of Rats cards. Any minion can burn this card as a (D) action.","We could endure their constant obstructions for only so long. The rats were the last straw.
Ventrue antitribu, Dublin 2002 Winter Storyline","Jyhad:C, VTES:C, SW:PT, FN:PR, CE:C/PN, Anarchs:PAG/PG, LoB:PA2, FB:PN1","","","Daniel Gelon","",""
"100094","Arson","","Action","","","","","","","Do not replace until after the action.
(D) Burn a location.","Felix couldn't deny the connection between the latest violence and the recent troubles at Pier 13. Fortunately, he knew just how to fix the problem.
Giovanni, Kosice 2002 Storyline","Jyhad:C, VTES:C, Sabbat:C, SW:PT, FN:PS, CE:PM/PN","","","Daniel Gelon; Dave Seeley","",""
"100095","Art Museum","","Master","Toreador","","2","","","","Unique location.
Lock during your influence phase to add 1 blood to a Toreador in your uncontrolled region.","","Jyhad:R, VTES:R, CE:R, KoT:R, FB:PTo1, V5:PTo1","","","Douglas Shuler; Andrew Trabbold","",""
"100096","Art of Love, The","","Master","Toreador antitribu","","","","","","Master.
Take control of an ally controlled by another Methuselah until the end of your turn.","I know of only one duty, and that is to love.
Albert Camus","Sabbat:U, Third:U","","","Greg Simanson","",""
"100097","Art of Memory, The","","Action Modifier","","","","","","","Requires a Black Hand vampire. Only usable when the action is announced.
Remove this card from the game when it is played. If the action is successful, move one card played by this vampire during this action from your ash heap to your hand. Discard down to your hand size.","","BH:U2","black hand","","Fred Harper","",""
"100098","Art of Pain, The","","Master","Toreador antitribu","","2","","","","Unique master.
Put this card on a ready Toreador antitribu. This vampire gets +2 strength.","No kind of sensation is keener and more active than that of pain; its impressions are unmistakable.
Marquis de Sade, ""120 Days of Sodom""","Sabbat:R, SW:R, Third:R","","","Greg Simanson","",""
"100099","Art Scam","","Action","Toreador antitribu","","","","","","+1 stealth action.
Gain 2 pool.","It's clever, but is it Art?
Kipling, ""The Conundrum of the Workshops""","Sabbat:R, SW:R, BH:PTo, Third:R, SP:LB4","","","John Matson","",""
"100100","Art's Traumatic Essence","","Action","","Melpominee/Auspex","","","","","+1 stealth action.
[aus] (D) Lock any unlocked minion.
[mel] (D) Lock any unlocked minion, and that minion burns 1 blood or life.
[MEL] (D) Put this card on any ready unlocked minion and lock that minion. The minion with this card burns 1 additional blood or life each time he or she attempts to take an action or block. During his or her master phase, the controller of the minion with this card may lock this minion and burn a pool to burn this card. A minion may have only one Art's Traumatic Essence.","","BL:R1, LoB:R","","","Brian LeBlanc","",""
"100101","Artistically Inept","","Master","Brujah","","1","","","","Master.
Put this card on any ready Brujah. Toreador cannot attempt to block the actions of that vampire. This card may be burned by any Toreador as a (D) action.","","DS:U","","","Mark Tedin","",""
"100102","As the Crow","","Action Modifier","","Flight","","","","","Only usable after resolution of a successful action. A minion can play only one As the Crow each turn.
[FLIGHT] Unlock this minion.","","HttB:C/A2","","","Avery Butterworth","",""
"100103","Asanbonsam Ghoul","","Ally","Tzimisce","","","2","","","Ghoul with 3 life. 2 strength, 0 bleed.
Asanbonsam Ghoul gets +1 intercept during directed actions. If Asanbonsam Ghoul blocks a directed action, set the range for the first round of the resulting combat to close.","","LoB:R, POD:DTC","","","Jeff Holt","",""
"100104","Ascendance","","Master","","","","","","","Master.
Gain 1 pool.","It is our destiny, our birthright, to rule.
Gratiano, Lasombra","Jyhad:C, VTES:C, Sabbat:C, CE:PM2","","","Max Shade Fellwalker; Sandra Everingham","",""
"100105","Ashes to Ashes","","Combat","","Thanatosis/Fortitude","","","","","[for] Only usable by a vampire being burned; he or she is sent into torpor instead.
[thn] Prevent all damage. This vampire unlocks and goes to torpor (ending combat).
[THN] As [thn] above, and this vampire gains 2 blood from the blood bank.","Yeah, I got 'er. S'funny, though -- she looked ta crumble just a'fore the flames hit 'er. Moonlight's tricks, huh?
Tom, Blood Brother of the Chicago Circle","BL:R2, LoB:R","","","Talon Dunning","",""
"100106","Ashur Tablets","","Master","","","","","","","Put this card in play. If you control three copies, remove all copies in play (even controlled by other Methuselahs) from the game to gain 3 pool and choose up to thirteen library cards from your ash heap; move one of the chosen cards to your hand and shuffle the others in your library.","","KoT:C, Anthology:3","","","Sandra Chang-Adair; Ginés Quiñonero; Sandra Chang-Adair","",""
"100107","Assault Rifle","","Equipment","","","5","","","","Weapon: gun.
Strike: 4R damage, with an optional maneuver each combat.","","Jyhad:U, VTES:U, CE:U, Third:U, KoT:U","","","L. A. Williams; Jeff Holt","",""
"100108","Asylum Hunting Ground","","Master","Malkavian","","2","","","","Unique location. Hunting ground.
During your unlock phase, a ready vampire you control can gain 1 blood. A vampire can gain blood from only one hunting ground each turn.","","Jyhad:U, VTES:U, CE:U/PM, KoT:U, FB:PM1, V5:PM1","","","Scott Kirschner; Brian LeBlanc","",""
"100109","Atonement","","Action","","","","2","","","+1 stealth action. Requires a vampire with capacity 5 or less.
Put this card on this vampire. This vampire gets +1 intercept and does not lock for blocking a vampire the same age or younger. Any vampire can burn this card as a (D) action; Followers of Set get -1 stealth during that action.","","AH:C2, FN:PA/PG, POD:DTC","capacity 5 or less","","Randy Gallegos","",""
"100110","Augur","","Action","","Vision","","","1","","+1 stealth action.
Look at the hands of your predator and prey and at the top three cards of your library. This acting imbued unlocks at the end of the action.","Time and space are relative terms, if you have the eyes to see and the ears to hear.
Fyodor, Visionary, Apocrypha","NoR:C","","","Avery Butterworth","",""
"100111","Aura Absorption","","Reaction/Action Modifier","","Mytherceria/Auspex","","","","","[aus] [REACTION] This vampire burns 1 blood to get +1 intercept.
[myt] [REACTION] +1 intercept.
[MYT] [ACTION MODIFIER] +1 stealth.","A young man. William Reed. Pacing nervously. Grabs a sealed envelope and keys from the table. Hmmm. That's all I see. Four hours ago, no more.
Bartholomew, Kiasyd","BL:C2, LoB:C, HttB:PKia4","","","Mike Danza","",""
"100112","Aura of Invincibility","","Action Modifier","","","","1","","","Only usable during a referendum, before any votes and ballots are cast.
If this referendum passes, put this card on the acting vampire and put a counter on this card. This vampire gets an additional vote for each counter on this card in referendums he or she calls. Add a counter to this card when a referendum called by this vampire passes. If a referendum called by this vampire fails, burn this card and send this vampire to torpor. A vampire can have only one Aura of Invincibility.","","Gehenna:C, Third:PB, KoT:C/PV3","","","William O'Connor","",""
"100113","Aura Reading","","Combat","","Auspex","","","","","Only usable before range is chosen.
[aus] The opposing minion's controller plays with an open hand for the remainder of combat.
[AUS] You get +2 hand size for the remainder of this combat. A vampire can play only one Aura Reading at superior each combat.","","Jyhad:U2, VTES:U, CE:C/PTr2, BH:PTr2, Third:PTz, KoT:U","","","Harold Arthur McNeill; Leif Jones","",""
"100114","Auspex","","Master","","","","","","","Master: Discipline.
Put this card on a vampire. This vampire gains 1 level of Auspex [aus]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Auspex [AUS].","","Jyhad:C, VTES:C, Sabbat:C, SW:C/PT/PV, CE:C, Third:PTz, KoT:PM/PT, HttB:PSal","","","Richard Thomas; Greg Simanson","+1",""
"100115","Autarkis Persecution","","Political Action","","","","","","","Successful referendum means each Methuselah gains 1 pool for each minion he or she controls.","","Jyhad:C, VTES:C, SW:PB, CE:C","","","Mike Raabe","",""
"100116","Auto-da-fé","","Political Action","","","","","","","Requires a cardinal, regent or Inquisitor.
Choose a vampire with capacity less than 8. Successful referendum means that vampire's controller burns X pool or burns that vampire, where X is the difference between 8 and that vampire's capacity.","","Third:U","cardinal,regent,inquisitor","","Avery Butterworth","",""
"100117","Autonomic Mastery","","Combat","","Dominate","","","","","Only usable at close range.
[dom] Strike: burn the opposing non-wraith ally or a non-wraith retainer on the opposing minion.
[DOM] Strike: hand strike. Damage from this strike is reduced to zero. Combat ends immediately after this strike resolves, unless it is dodged. Only usable in combat with a non-wraith ally or a younger vampire.","","LotN:U, HttB:PKia","","","Peter Bergting","",""
"100118","Aversion","","Reaction","","Valeren/Celerity","","1","","","[cel] Reduce a bleed against you by 1.
[val] Burn X pool to reduce a bleed against you by 2X+1.
[VAL] Only usable when a minion is bleeding you for 1 or more. Put this card on the acting minion. You still control this card. This minion gets -1 bleed when bleeding you. Any minion may burn this card as a +1 stealth (D) action.","","LoB:C","","","Alexander Dunnigan","",""
